Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
0.0370	0.0000	71.5332	0.0000	45.4102	0.0000	62.9883	0.0000	83.0078	0.0000	0.9240	0.0000	0.9240	0.0000	-0.0084	0.0000	-1083.5175	
0.1410	0.0000	71.7773	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	-0.0102	0.0000	-1083.5175	
0.3410	0.0000	71.7773	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	0.0009	0.0000	-1083.5175	
0.5420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.9346	0.0000	0.9346	0.0000	0.0065	0.0000	-1083.5175	
0.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0093	0.0000	-1083.5175	
0.9410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.9133	0.0000	0.9133	0.0000	0.0037	0.0000	-1083.5175	
1.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0102	0.0000	-1083.5175	
1.3410	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	0.0000	0.0000	-1083.5175	
1.5410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0084	0.0000	-1083.5175	
1.7410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0084	0.0000	-1083.5175	
1.9410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.5195	0.0000	0.9027	0.0000	0.9027	0.0000	0.0019	0.0000	-1083.2520	
2.1410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.9346	0.0000	0.9346	0.0000	-0.0074	0.0000	-1083.5175	
2.3410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.5195	0.0000	0.8815	0.0000	0.8815	0.0000	0.0046	0.0000	-1082.7209	
2.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0074	0.0000	-1083.5175	
2.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0065	0.0000	-1083.3847	
2.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0056	0.0000	-1083.3847	
3.1410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0056	0.0000	-1083.5175	
3.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	0.0009	0.0000	-1083.5175	
3.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.5195	0.0000	0.9133	0.0000	0.9133	0.0000	-0.0093	0.0000	-1082.7209	
3.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.9346	0.0000	0.9346	0.0000	-0.0037	0.0000	-1083.5175	
3.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0074	0.0000	-1083.5175	
4.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0093	0.0000	-1083.5175	
4.3410	0.0000	71.5332	0.0000	45.4102	0.0000	62.5000	0.0000	82.5195	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0084	0.0000	-1082.7209	
